target_id,evidence_class,route_id,clock_id,native_object,projection_mapping,native_time,calendar_time,calendar_time_normalized,event_count,cumulative_volume,impact
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},0,0,0,0,0,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},0,0.51200000000000001,0.002,0,0,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},1,1.024,0.0040000000000000001,1,0.00390625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},1,1.536,0.0060000000000000001,1,0.00390625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},2,2.048,0.0080000000000000002,2,0.0078125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},2,2.5600000000000001,0.01,2,0.0078125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},3,3.0720000000000001,0.012,3,0.01171875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},3,3.5840000000000001,0.014,3,0.01171875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},4,4.0960000000000001,0.016,4,0.015625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},4,4.6080000000000005,0.018000000000000002,4,0.015625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},5,5.1200000000000001,0.02,5,0.01953125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},5,5.6319999999999997,0.021999999999999999,5,0.01953125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},6,6.1440000000000001,0.024,6,0.0234375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},6,6.6560000000000006,0.026000000000000002,6,0.0234375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},7,7.1680000000000001,0.028000000000000001,7,0.02734375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},7,7.6799999999999997,0.029999999999999999,7,0.02734375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},8,8.1920000000000002,0.032000000000000001,8,0.03125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},8,8.7040000000000006,0.034000000000000002,8,0.03125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},9,9.2160000000000011,0.036000000000000004,9,0.03515625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},9,9.7279999999999998,0.037999999999999999,9,0.03515625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},10,10.24,0.040000000000000001,10,0.0390625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},10,10.752000000000001,0.042000000000000003,10,0.0390625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},11,11.263999999999999,0.043999999999999997,11,0.04296875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},11,11.776,0.045999999999999999,11,0.04296875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},12,12.288,0.048000000000000001,12,0.046875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},12,12.800000000000001,0.050000000000000003,12,0.046875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},13,13.312000000000001,0.052000000000000005,13,0.05078125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},13,13.824,0.053999999999999999,13,0.05078125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},14,14.336,0.056000000000000001,14,0.0546875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},14,14.848000000000001,0.058000000000000003,14,0.0546875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},15,15.359999999999999,0.059999999999999998,15,0.05859375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},15,15.872,0.062,15,0.05859375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},16,16.384,0.064000000000000001,16,0.0625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},16,16.896000000000001,0.066000000000000003,16,0.0625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},17,17.408000000000001,0.068000000000000005,17,0.06640625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},17,17.920000000000002,0.070000000000000007,17,0.06640625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},18,18.432000000000002,0.072000000000000008,18,0.0703125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},18,18.943999999999999,0.073999999999999996,18,0.0703125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},19,19.456,0.075999999999999998,19,0.07421875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},19,19.968,0.078,19,0.07421875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},20,20.48,0.080000000000000002,20,0.078125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},20,20.992000000000001,0.082000000000000003,20,0.078125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},21,21.504000000000001,0.084000000000000005,21,0.08203125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},22,22.016000000000002,0.086000000000000007,22,0.0859375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},22,22.527999999999999,0.087999999999999995,22,0.0859375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},23,23.039999999999999,0.089999999999999997,23,0.08984375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},23,23.552,0.091999999999999998,23,0.08984375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},24,24.064,0.094,24,0.09375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},24,24.576000000000001,0.096000000000000002,24,0.09375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},25,25.088000000000001,0.098000000000000004,25,0.09765625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},25,25.600000000000001,0.10000000000000001,25,0.09765625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},26,26.112000000000002,0.10200000000000001,26,0.1015625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},26,26.624000000000002,0.10400000000000001,26,0.1015625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},27,27.135999999999999,0.106,27,0.10546875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},27,27.648,0.108,27,0.10546875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},28,28.16,0.11,28,0.109375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},28,28.672000000000001,0.112,28,0.109375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},29,29.184000000000001,0.114,29,0.11328125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},29,29.696000000000002,0.11600000000000001,29,0.11328125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},30,30.208000000000002,0.11800000000000001,30,0.1171875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},30,30.719999999999999,0.12,30,0.1171875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},31,31.231999999999999,0.122,31,0.12109375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},31,31.744,0.124,31,0.12109375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},32,32.256,0.126,32,0.125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},32,32.768000000000001,0.128,32,0.125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},33,33.280000000000001,0.13,33,0.12890625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},33,33.792000000000002,0.13200000000000001,33,0.12890625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},34,34.304000000000002,0.13400000000000001,34,0.1328125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},34,34.816000000000003,0.13600000000000001,34,0.1328125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},35,35.328000000000003,0.13800000000000001,35,0.13671875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},35,35.840000000000003,0.14000000000000001,35,0.13671875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},36,36.352000000000004,0.14200000000000002,36,0.140625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},36,36.864000000000004,0.14400000000000002,36,0.140625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},37,37.375999999999998,0.14599999999999999,37,0.14453125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},37,37.887999999999998,0.14799999999999999,37,0.14453125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},38,38.399999999999999,0.14999999999999999,38,0.1484375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},38,38.911999999999999,0.152,38,0.1484375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},39,39.423999999999999,0.154,39,0.15234375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},39,39.936,0.156,39,0.15234375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},40,40.448,0.158,40,0.15625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},40,40.960000000000001,0.16,40,0.15625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},41,41.472000000000001,0.16200000000000001,41,0.16015625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},41,41.984000000000002,0.16400000000000001,41,0.16015625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},42,42.496000000000002,0.16600000000000001,42,0.1640625,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},43,43.008000000000003,0.16800000000000001,43,0.16796875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},43,43.520000000000003,0.17000000000000001,43,0.16796875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},44,44.032000000000004,0.17200000000000001,44,0.171875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},44,44.544000000000004,0.17400000000000002,44,0.171875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},45,45.055999999999997,0.17599999999999999,45,0.17578125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},45,45.567999999999998,0.17799999999999999,45,0.17578125,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},46,46.079999999999998,0.17999999999999999,46,0.1796875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},46,46.591999999999999,0.182,46,0.1796875,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},47,47.103999999999999,0.184,47,0.18359375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},47,47.616,0.186,47,0.18359375,
F02,illustration,A,constant,Q_m,Q_m -> N_t -> Q_{N_t},48,48.128,0.188,48,0.1875,
